Name,Gender,Rating Value,Rating Count,Main Accords,Description,url
Le Male Le Parfum Jean Paul Gaultierfor men,for men,4.6,13406,"['warm spicy', 'vanilla', 'lavender', 'aromatic', 'powdery', 'iris', 'woody', 'amber', 'violet']","Le Male Le ParfumbyJean Paul Gaultieris a Amber fragrance for men.Le Male Le Parfumwas launched in 2020. Le Male Le Parfum was created by Quentin Bisch and Natalie Gracia-Cetto. Top note is Cardamom; middle notes are Lavender and Iris; base notes are Vanilla, Oriental notes and Woodsy Notes.",https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html
Emporio Armani Stronger With You Intensely Giorgio Armanifor men,for men,4.57,9587,"['vanilla', 'sweet', 'amber', 'cinnamon', 'warm spicy', 'powdery', 'aromatic', 'soft spicy', 'caramel']","Emporio Armani Stronger With You IntenselybyGiorgio Armaniis a Amber Fougere fragrance for men.Emporio Armani Stronger With You Intenselywas launched in 2019. Top notes are Pink Pepper, Juniper and Violet; middle notes are Toffee, Cinnamon, Lavender and Sage; base notes are Vanilla, Amber, Tonka Bean and Suede.",https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely-52802.html
Le Beau Le Parfum Jean Paul Gaultierfor men,for men,4.56,7651,"['sweet', 'woody', 'coconut', 'amber', 'vanilla', 'tropical', 'fruity', 'powdery', 'warm spicy', 'lactonic']","Le Beau Le ParfumbyJean Paul Gaultieris a Amber Woody fragrance for men. This is a new fragrance.Le Beau Le Parfumwas launched in 2022. The nose behind this fragrance is Quentin Bisch. Top notes are Pineapple, Iris, Ginger and Cypress; middle notes are Coconut and Woodsy Notes; base notes are Tonka Bean, Sandalwood, Amber and Ambergris.",https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Le-Parfum-72158.html
Le Male Elixir Jean Paul Gaultierfor men,for men,4.56,10388,"['vanilla', 'sweet', 'honey', 'amber', 'aromatic', 'lavender', 'tobacco', 'green', 'fresh spicy', 'powdery']","Le Male ElixirbyJean Paul Gaultieris a Amber Fougere fragrance for men. This is a new fragrance.Le Male Elixirwas launched in 2023. The nose behind this fragrance is Quentin Bisch. Top notes are Lavender and Mint; middle notes are Vanilla and Benzoin; base notes are Honey, Tonka Bean and Tobacco.",https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html
Dior Homme Parfum Diorfor men,for men,4.55,7676,"['iris', 'woody', 'leather', 'powdery', 'violet', 'animalic', 'floral', 'earthy', 'rose', 'oud']","Dior Homme ParfumbyDioris a Leather fragrance for men.Dior Homme Parfumwas launched in 2014. The nose behind this fragrance is Fran̤ois Demachy. Top notes are Tuscan Iris and Italian Orange; middle notes are Leather and Rose; base notes are Sandalwood, Ambrette (Musk Mallow), Agarwood (Oud) and Cedar.",https://www.fragrantica.com/perfume/Dior/Dior-Homme-Parfum-27417.html
Spicebomb Extreme Viktor&Rolffor men,for men,4.52,10644,"['vanilla', 'tobacco', 'sweet', 'warm spicy', 'powdery', 'cinnamon']",Spicebomb ExtremebyViktor&Rolfis a Amber Spicy fragrance for men.Spicebomb Extremewas launched in 2015. Spicebomb Extreme was created by Carlos Benaim and Jean-Christophe H̩rault.,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Extreme-30499.html
9pm Afnanfor men,for men,4.5,6865,"['vanilla', 'amber', 'warm spicy', 'cinnamon', 'sweet', 'fruity', 'powdery', 'lavender', 'aromatic', 'fresh']","9pmbyAfnanis a Amber Vanilla fragrance for men.9pmwas launched in 2020. Top notes are Apple, Cinnamon, Wild Lavender and Bergamot; middle notes are Orange Blossom and Lily-of-the-Valley; base notes are Vanilla, Tonka Bean, Amber and Patchouli.",https://www.fragrantica.com/perfume/Afnan/9pm-65414.html
Dior Homme Intense 2011 Diorfor men,for men,4.5,18272,"['iris', 'woody', 'powdery', 'earthy', 'violet', 'aromatic', 'floral', 'lavender', 'musky', 'fruity']","Dior Homme Intense 2011byDioris a Woody Floral Musk fragrance for men.Dior Homme Intense 2011was launched in 2011. The nose behind this fragrance is Fran̤ois Demachy. Top note is Lavender; middle notes are Iris, Ambrette (Musk Mallow) and Pear; base notes are Virginia Cedar and Vetiver.",https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html
The One for Men Eau de Parfum Dolce&Gabbanafor men,for men,4.49,11353,"['warm spicy', 'amber', 'tobacco', 'citrus', 'aromatic', 'sweet', 'woody', 'fresh spicy', 'white floral', 'animalic']","The One for Men Eau de ParfumbyDolce&Gabbanais a Woody Spicy fragrance for men.The One for Men Eau de Parfumwas launched in 2015. The nose behind this fragrance is Olivier Polge. Top notes are Grapefruit, Coriander and Basil; middle notes are Cardamom, Ginger and Orange Blossom; base notes are Amber, Tobacco and Cedar.",https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-for-Men-Eau-de-Parfum-31909.html
A*Men Pure Havane Muglerfor men,for men,4.46,7169,"['sweet', 'honey', 'tobacco', 'vanilla', 'amber', 'warm spicy', 'cacao', 'patchouli', 'woody', 'powdery']","A*Men Pure HavanebyMugleris a Amber Vanilla fragrance for men.A*Men Pure Havanewas launched in 2011. The nose behind this fragrance is Jacques Huclier. Top notes are White Honey and Tobacco; middle notes are Vanille, Cacao and Patchouli; base notes are Amber, French labdanum and Styrax.",https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Havane-11444.html
